Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bulgaria,BGR,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,0.246152331,5.59777042,7.798644769,3.594536305,3.173317868,4.697141149,50.63040327,0.254838101,0.995257598,0.678067894,4.457959099,21.28546067,12.36998449,59.36796465,149.4810402,96.96796982,574.8248151,158.1606406,259.5274967,394.6282257,573.8506593,526.9896425,404.1974349,644.0457363,518.6838661,176.575073,229.5549389,19.6879329,-5.609838927,-3.657963761,277.2490442,185.8156168,153.246957,208.0039424,174.4268624,177.1592784,228.2571757,251.5567459,323.4138197,96.54976572,90.4317168,101.3382488,84.06355412,170.6737059,70.9563013,,,,,,,,,
"Bahamas, The",BHS,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,-0.365210087,,,0.157070941,0.448775964,0.499825061,0.341614058,4.521417759,0.315200878,0.426179604,0.472377713,1.437880679,6.859944671,2.644788389,2.809337807,3.494245084,3.058500298,2.384358608,5.806134653,5.969772566,9.541441185,9.006332287,8.489426805,3.952323433,46.51890754,2.98273423,23.41773475,2.752704429,17.12543167,15.56401695,12.28846289,10.57058161,10.14667584,3.799265967,3.15423102,15.21156936,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002181152,0.002209207,0.002286386,3.787048632,18.09121227,111.6491761,274.2973863,244.3814866,243.7925587,251.3087021,342.8141335,192.4517338,164.9965858,142.5962116,139.1043999,176.5549024,141.3774013,138.0537614,154.9604321,120.9286955,107.5167525,132.7039579,162.9089719,148.9677917,
Belarus,BLR,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.982614095,7.967513536,8.761506276,11.56381192,10.26296413,14.53319283,13.28618178,10.90659341,
Belize,BLZ,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,19.76799757,29.77793265,56.67991252,40.53271569,15.03832347,20.0714279,23.595259,51.81944826,47.56119627,57.35368103,48.69903993,40.62760433,69.76122314,36.11923214,47.37026488,65.36045805,86.05571793,69.56661387,131.1055464,146.6300563,100.5889657,76.64367131,79.40698887,96.64998075,86.68970076,132.9767882,141.9075537,134.748924,139.7940818,155.5342263,161.6618325,113.7598763,131.1482139,153.7647415,156.0183446,88.08380282,97.13949382,64.3525384,67.4862162,198.6543604,61.44534885,90.41672444,88.89206644,45.59776424,28.59945669,44.75581053,30.93356274,76.06675146,81.28253345,91.556595,80.23461171,71.32920197,77.70166019,
Bermuda,BMU,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,0.204498978,0.998003992,1.176470588,1.153846154,0.754716981,0.185185185,0.181818182,,0.184501845,,0.561797753,0.377358491,0.563909774,1.498127341,2.985074627,2.788104089,5.121638924,3.814713896,1.262421324,1.251564456,1.41786151,16.52079159,1.568436095,3.975868209,0.68555367,1.69949525,711.1553113,-79.97153556,-85.33151293,-81.819725,-210.384356,-34.81404613,-67.68780455,,,,,,,,,,,,,,,,,
Bolivia,BOL,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,3.602609506,6.892689316,10.24411577,14.92419902,11.16025161,9.053472271,7.829280519,7.326956658,11.79860302,9.006223475,7.739644432,7.770766552,11.6815836,6.812479723,13.25909672,11.70048847,13.30798946,18.52469756,28.33875611,29.78009528,31.56325661,30.75796891,26.31678537,30.10061477,28.54514827,32.50917062,53.96931654,48.68572703,64.70144163,74.78233508,80.28205873,72.28821102,93.62662835,76.65015025,75.20057215,93.17960301,105.9952583,87.45355186,77.67280712,69.51713975,56.70331176,85.7900955,77.9489673,104.0736573,85.48904448,68.74184969,89.3070005,49.17192823,63.84622159,72.57285454,72.95550943,69.91562258,62.74886781,
Brazil,BRA,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,0.331291068,3.554833686,2.155094641,2.476551083,3.035955368,2.797721799,3.994147959,2.642490447,2.896446379,2.04716867,1.9584561,1.600664462,1.460133901,1.09669176,1.584582823,1.535580546,1.010303362,0.694546614,0.970894029,0.896117512,0.701081756,1.883705255,1.627440239,0.770530008,1.201821084,0.898379579,1.280575843,2.032551494,1.446495031,1.373414752,1.009433175,1.061822164,-1.667486158,1.272712315,1.576462486,1.67588259,1.642898104,1.55674278,1.665286432,0.715671203,1.325865363,1.240505321,1.157955498,1.090931393,0.838974852,1.305828205,0.602920313,1.690553222,2.400639527,1.741322004,2.322164041,4.14090662,6.484676409,
Barbados,BRB,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,6.781500068,2.495073287,3.58654329,5.469538876,9.722734435,19.05246306,19.59671372,19.50850101,15.79035643,21.45215193,30.62433073,23.54978635,45.72037869,44.25724017,55.7109782,68.52332436,50.48249462,73.81567512,32.18888358,28.66084276,14.40595028,23.93762183,11.26226713,7.777343554,10.14128389,8.14836168,0.114958826,13.75547353,3.886587843,-4.407880987,16.02977066,16.3261604,59.01194559,-8.00090151,0.898237209,-4.286310642,12.28091005,73.40018608,105.839349,-6.616270909,-7.565754775,63.37842093,25.64527399,42.86646165,57.77543189,,,
Brunei Darussalam,BRN,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,0.122223988,5.602306283,8.147776104,0.427163315,0.71484008,0.780365992,0.744601638,0.621283394,0.253880135,0.242199168,0.077089709,0.368440832,0.141016873,0.810493185,0.971584395,0.870695499,0.657599761,0.460251527,0.554477405,0.481855465,0.15540096,0.954160138,1.316732747,2.086049544,3.734698112,6.276872862,11.07173525,13.72986075,18.61936579,18.25877002,15.10144826,13.69489884,19.7473661,18.12967545,18.30392873,14.54222499,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,0.041593185,0.040586392,0.633166863,0.192794127,0.037541342,0.511034699,0.354230576,0.720275763,0.463947932,0.60737222,1.602055561,1.81115314,6.012368301,8.894880195,7.734302699,8.043455283,12.3829425,19.52779561,22.75503322,25.88634858,29.03318592,37.77702789,49.84613549,80.36912405,80.72754553,78.58018272,76.61670308,85.8628658,114.8054327,102.5167328,121.6631731,142.888418,139.8925565,112.0184786,125.8380569,104.5084002,121.8011699,94.07282715,104.1164562,122.9499294,125.4739342,123.0018315,138.4496408,152.5614212,132.2264173,125.0146281,177.9595823,182.7212636,195.276031,217.4106457,
Botswana,BWA,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,6.543641126,10.17275044,9.524640463,9.442251685,15.30025236,17.2846633,29.16341134,28.91995223,25.72080481,19.8982449,20.48541784,24.64904783,42.43917862,47.10814499,45.95518707,61.91009788,55.4316721,53.1630017,74.39637462,103.465108,105.5302376,93.26864696,94.41271631,93.02988558,88.92824582,80.7153463,82.25616921,122.5708855,114.9485264,117.5638659,104.9344178,92.01039232,75.94166021,86.2949187,55.13750392,56.54730516,45.9287509,73.30984603,62.790016,35.30010598,17.44356619,16.35686565,20.55859226,15.1969713,27.0550196,25.57835169,36.29326605,56.21905328,372.4739737,143.0331785,79.28540563,60.47714276,36.85794272,
Sub-Saharan Africa (IFC classification),CAA,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,0.019953429,0.274648205,0.732339065,1.248608716,10.38654142,9.570422663,9.305509503,11.96933708,9.850392534,11.05376224,7.863466597,8.338941786,13.49527665,13.2141104,18.51292337,27.13917415,18.76679504,21.28962281,23.59903047,37.65136086,48.4237864,43.24699461,37.1031198,37.17594818,51.52319933,39.59223619,50.34620936,65.68010894,73.229762,66.19432432,85.44628855,58.20939002,58.23083799,54.95426771,52.35214409,51.21966483,50.33282104,26.57141447,34.28965107,33.08285169,20.69089106,20.62339955,15.99045245,13.3824729,28.20786445,22.44441095,33.148963,43.07875264,61.47514543,56.73136131,60.00338857,60.58315001,50.21867498,
Canada,CAN,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia and the Pacific (IFC classification),CEA,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09E-05,0.064861058,1.2864075,0.962759565,1.966994416,1.251426412,0.724677461,0.728921166,1.165254294,2.313945263,1.824717972,1.130054605,1.123247269,1.161925138,1.922842524,1.5441043,2.297989304,1.60896841,1.439656553,,,
Europe and Central Asia (IFC classification),CEU,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,1.70087015,14.91763817,16.5115704,17.19462157,15.60726095,13.04010563,15.26714624,11.32108546,9.203785765,10.12158131,7.554085151,4.910125232,5.005257031,4.824559971,2.298788324,12.17194914,0.689955076,0.987906809,0.658188476,-2.528265079,-0.942605257,-0.638023433,-0.765814657,0.008523947,0.18865319,3.299261579,-0.417622739,1.699186161,3.474929049,4.752318614,7.835670387,8.981549107,9.578677538,12.43912437,10.56549771,10.84133541,13.32394601,8.668372101,7.054612172,4.578941742,3.162852888,4.812878642,-0.463983678,5.357078777,3.362765313,10.24253708,6.143161908,6.293159737,6.407748855,4.632842249,11.51669081,9.47225254,7.18644928,
China,CHN,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,0.017388971,0.066752613,0.478828033,0.518901877,0.653565391,0.769155836,0.893162962,1.026650044,1.27112132,1.742018645,1.851186698,1.790342543,1.6793653,2.569705658,2.721292556,2.633426607,2.880570691,2.16832163,1.664443225,1.963524661,1.899244453,1.355685882,1.217934505,1.168994064,1.054447377,1.323804564,1.391633173,0.951831398,1.129036297,1.116902137,0.848421796,0.482998867,-0.522880971,-0.143726008,
Cote d'Ivoire,CIV,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,0.037413043,0.935571858,2.406093512,2.223730989,9.632871774,9.152224818,8.170354273,7.409766168,9.352579958,9.910272718,10.03068726,9.306446505,8.399979609,10.51581815,11.98807344,15.08841055,15.5360621,14.36365684,17.11615681,20.21283642,25.38246401,14.25811345,15.15108271,16.54761835,12.58656139,11.55341787,16.54269289,22.00440875,37.53238342,33.69104164,56.65326764,50.27103582,58.35072904,57.04742368,115.4515496,85.23622061,65.89285374,29.67129231,62.64903828,28.30989616,21.73224133,11.3220488,64.03123433,15.00135927,9.362864971,5.243764026,13.99242244,9.531417827,34.26443003,129.1089643,44.5264449,74.05896889,132.845928,
Latin America and the Caribbean (IFC classification),CLA,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa (IFC classification),CME,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,0.070877446,1.300573257,1.689380039,1.556179387,4.744930906,5.391077766,7.925310594,6.027949241,7.434959253,5.688981057,8.753550268,6.934963455,8.810864135,8.308003112,8.219446608,14.16243206,16.96840254,21.91420448,21.31809236,31.91499419,29.64133603,21.54840278,22.35925473,13.06578797,18.17039178,14.68823433,20.22995371,18.41270215,24.24102454,38.63198479,36.81580639,41.53225427,55.85601623,41.28709865,53.89258156,31.78847883,28.65065734,33.90818921,32.91719589,27.99405143,23.65248545,27.99680009,36.10108518,51.4408495,44.73334027,22.82148365,92.3563195,100.8651524,27.99639051,32.24939185,26.20689541,28.92002901,27.47696493,
"Congo, Rep.",COG,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,0.019732019,0.182699686,2.875638471,5.152909159,15.76462422,13.68851503,21.15212731,15.3571309,16.96847849,13.24532942,11.52731277,12.47932226,16.28416502,18.19838703,25.0795756,35.99323767,45.39163092,29.21715271,47.34131282,51.66420046,50.74003068,43.48178619,48.25205691,54.70412128,47.77430255,33.20002655,50.15223868,62.56980699,38.33919563,39.00903603,91.11800823,54.46216214,44.94352499,47.45534482,136.6597465,45.89373135,153.450921,93.31442887,21.91900537,46.10037169,10.24885132,23.01571357,17.55935876,20.5594428,33.48345022,402.3521064,70.83207533,31.58140052,125.1136664,70.90604448,318.9666599,61.48353312,31.95719857,
Colombia,COL,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,-0.714089587,2.759416037,2.742797478,4.2714156,3.029557327,1.990383656,4.857930775,5.535378583,9.479639827,5.809494178,7.490824104,5.930937056,5.337370894,6.422315091,4.538496053,3.438454068,3.058110575,1.922048615,2.747097259,2.040929816,3.334745272,3.674387223,3.405328548,2.965982064,2.975742602,2.030819717,2.048301968,2.469511418,1.952574374,2.06324517,2.658304766,3.339195011,6.693217044,2.36639027,2.070697517,4.618868185,5.018245186,5.120924691,4.332082488,7.687442421,4.660385848,9.476647249,10.63656751,19.11465956,12.10389774,14.36920217,22.92902799,16.24283485,21.52701268,23.13080266,19.40109633,21.61610264,16.02513746,
Comoros,COM,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,28.72196665,44.68933998,35.36306834,28.01799143,34.00862069,37.23325664,42.23039347,71.31899668,107.9344024,82.64874666,93.58605768,43.14036139,46.12296024,64.68920767,137.9154204,143.1181674,113.9827185,109.4824677,120.7884645,129.8103936,123.1714021,141.2593953,130.4286933,109.4344027,108.723564,149.6563578,110.4812987,109.5489162,85.11761407,89.29050537,81.0599144,60.59714844,79.84020011,41.64822107,35.4146792,50.85096019,49.60181861,43.01557781,44.96155548,37.98692597,51.70909256,71.08809993,64.13149112,75.73971959,98.40707032,74.03429799,95.7069169,
Cabo Verde,CPV,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,12.52590375,,,,,9.715783108,2.791198682,,0.037339347,,,,,,27.68770826,76.70007296,84.17067979,114.814172,107.5023251,205.0459065,159.9371945,165.7250106,177.0003497,186.5677386,194.3099895,310.2078285,249.1563024,240.7958919,239.6818107,299.1249006,283.6153731,315.7726372,303.2445265,307.2368962,289.7037877,284.8895521,265.4216619,304.2504437,312.3675628,211.8094325,171.2465507,199.3291806,315.2874358,301.9572319,338.9108139,287.2971739,341.4628096,457.6076393,402.7061192,672.4555528,514.0697494,497.8549801,
Costa Rica,CRI,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,2.691065662,4.379196428,6.498552151,6.829116871,9.107349292,9.797369428,8.655436447,8.874396948,6.887836982,9.295773379,8.237720528,8.837499277,9.742508942,11.9184575,11.49145158,14.63396093,11.56087485,11.65099556,22.77882798,24.17170007,27.43538547,22.4860363,32.17824274,98.48792778,82.67185565,103.4937909,70.17397072,79.97146209,64.11685613,75.34662848,73.72949157,55.15245824,43.38241843,29.88551484,22.02691852,8.530281637,-3.597258457,-2.173306871,4.5566225,-2.566549376,2.448093795,0.092189138,-0.083051609,6.959719693,3.007298527,5.976671998,7.219135011,12.98388206,14.58729665,23.59486976,20.35040907,8.516826801,6.804993242,
South Asia (IFC classification),CSA,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,4.339650626,7.669373339,8.274397908,8.811783336,7.630787161,11.3096792,7.697628382,7.265565754,13.40372169,13.17488808,13.61881576,16.47684907,16.6829091,13.99166247,24.42028833,26.18986088,38.16430585,33.97994069,51.16032354,57.87178456,61.30832729,72.24959901,71.32736313,51.31952492,51.49628743,54.2496575,58.92537184,60.31611172,63.94096993,82.15634584,105.2883324,74.06931137,67.3347555,64.22707825,66.50039667,73.40908331,76.97036346,84.17727231,44.69491663,38.72320059,36.48361627,43.62137186,37.36542688,29.30395119,48.76057603,51.71589915,55.81301082,74.92218365,81.07414146,101.2531339,89.05585823,62.61225117,42.10665065,
